Date,MSCI World Small Cap High Dividend Yield Index
2022-11-09,12018.5908289671
2022-11-10,12327.340098801817
2022-11-11,12290.453367988424
2022-11-14,12159.412794360727
2022-11-15,12215.478412366865
2022-11-16,12046.859249095889
2022-11-17,12051.589614094371
2022-11-18,12128.696069372023
2022-11-21,12226.639726224072
2022-11-22,12328.698794527212
2022-11-23,12304.276403796599
2022-11-24,12346.444897808457
2022-11-25,12375.13661873045
2022-11-28,12210.22077549811
2022-11-29,12265.375368967854
2022-11-30,12396.685621036488
2022-12-01,12324.794758605993
2022-12-02,12309.20715598755
2022-12-05,12047.874098419958
2022-12-06,11993.814329271574
2022-12-07,11949.883301418302
2022-12-08,11932.497342547915
2022-12-09,11971.621910521668
2022-12-12,11981.01802147266
2022-12-13,11976.127276792988
2022-12-14,11929.73944553789
2022-12-15,11678.925475231714
2022-12-16,11618.066692041415
2022-12-19,11628.916092448488
2022-12-20,11634.282192468525
2022-12-21,11790.87174633847
2022-12-22,11749.1429961444
2022-12-23,11777.856430699374
2022-12-26,11789.646104761781
2022-12-27,11780.57333069691
2022-12-28,11714.816164060763
2022-12-29,11797.788453547277
2022-12-30,11753.031689019514
2023-01-02,11779.489608827153
2023-01-03,11926.730012024336
2023-01-04,11942.1805383532
2023-01-05,11923.982699101478
2023-01-06,12060.586489582236
2023-01-09,11981.489835369213
2023-01-10,11998.180057700361
2023-01-11,12050.605863432276
2023-01-12,12129.18299600132
2023-01-13,12188.06284477597
2023-01-16,12188.8315325157
2023-01-17,12211.037913378368
2023-01-18,12123.814637109503
2023-01-19,12045.987351096768
2023-01-20,12125.434600418275
2023-01-23,12184.780661632743
2023-01-24,12187.174466015387
2023-01-25,12164.77780517441
2023-01-26,12249.454512067732
2023-01-27,12311.998884760822
2023-01-30,12215.923994644918
2023-01-31,12367.976310461501
2023-02-01,12425.913253544177
2023-02-02,12569.935950135936
2023-02-03,12542.566855113293
2023-02-06,12510.286299951089
2023-02-07,12601.615375947411
2023-02-08,12508.287269691638
2023-02-09,12439.40854999285
2023-02-10,12479.002475839638
2023-02-13,12494.407887105954
2023-02-14,12489.790538353554
2023-02-15,12545.303432745925
2023-02-16,12527.472991994131
2023-02-17,12554.31810832131
2023-02-20,12563.021859951396
2023-02-21,12415.681369309495
2023-02-22,12409.46646713297
2023-02-23,12468.039999535195
2023-02-24,12474.036988262857
2023-02-27,12475.079064971253
2023-02-28,12459.429283536769
2023-03-01,12394.939580468734
2023-03-02,12403.422811116621
2023-03-03,12520.001967604729
2023-03-06,12410.996118736444
2023-03-07,12352.666585509633
2023-03-08,12391.958786967325
2023-03-09,12203.529838046465
2023-03-10,11937.715849723716
2023-03-13,11582.048214020515
2023-03-14,11638.588542517595
2023-03-15,11685.187290555856
2023-03-16,11697.568131841577
2023-03-17,11511.657954665361
2023-03-20,11502.028402722424
2023-03-21,11614.142199838425
2023-03-22,11448.123372557267
2023-03-23,11348.581099434477
2023-03-24,11484.085999078985
2023-03-27,11531.091221626488
2023-03-28,11513.934552207429
2023-03-29,11605.188488834805
2023-03-30,11566.159393323192
2023-03-31,11702.925154961678
2023-04-03,11701.397227782041
2023-04-04,11589.877969094116
2023-04-05,11537.317706939637
2023-04-06,11506.087198777383
2023-04-07,11513.635198415785
2023-04-10,11590.986514045358
2023-04-11,11637.137694723517
2023-04-12,11595.921398420107
2023-04-13,11616.863168416447
2023-04-14,11605.417934234765
2023-04-17,11734.617311262655
2023-04-18,11678.490154988862
2023-04-19,11716.626026778531
2023-04-20,11683.215303690102
2023-04-21,11638.999016724363
2023-04-24,11599.534719477786
2023-04-25,11509.869335517653
2023-04-26,11406.332794863494
2023-04-27,11523.798487869872
2023-04-28,11575.728207157903
2023-05-01,11591.463883143408
2023-05-02,11408.736830880507
2023-05-03,11356.275498475154
2023-05-04,11324.254385701977
2023-05-05,11485.26417265162
2023-05-08,11473.993186254975
2023-05-09,11484.581406761607
2023-05-10,11473.32934766157
2023-05-11,11455.282567960905
2023-05-12,11496.321395563295
2023-05-15,11577.803456279897
2023-05-16,11495.942448594229
2023-05-17,11641.561226550695
2023-05-18,11712.818171557683
2023-05-19,11672.31779608494
2023-05-22,11707.147878960544
2023-05-23,11700.314878664292
2023-05-24,11529.842569606706
2023-05-25,11488.536818562747
2023-05-26,11545.040866858513
2023-05-29,11568.544609341352
2023-05-30,11530.41468449573
2023-05-31,11414.875857919551
2023-06-01,11455.216242817512
2023-06-02,11782.425355857871
2023-06-05,11743.947381752656
2023-06-06,11930.614662860453
2023-06-07,12039.858390817322
2023-06-08,11956.934385983406
2023-06-09,11968.328763812582
2023-06-12,11971.818997727822
2023-06-13,12039.241306717464
2023-06-14,11962.990122561234
2023-06-15,11959.205466325746
2023-06-16,11903.058971332093
2023-06-19,11847.520029860863
2023-06-20,11766.940039611256
2023-06-21,11667.822099136507
2023-06-22,11537.409150096211
2023-06-23,11447.630037318688
2023-06-26,11469.245757236726
2023-06-27,11487.882356493039
2023-06-28,11567.147789316265
2023-06-29,11642.739880947818
2023-06-30,11652.96707931331
2023-07-03,11767.352353383265
2023-07-04,11785.701606005596
2023-07-05,11713.306499082999
2023-07-06,11543.431426224859
2023-07-07,11574.515633842566
2023-07-10,11599.431777234377
2023-07-11,11714.60056522373
2023-07-12,11795.75648252192
2023-07-13,11836.624249901879
2023-07-14,11706.189579755563
2023-07-17,11711.455955527344
2023-07-18,11882.629387188988
2023-07-19,12037.03671929786
2023-07-20,12037.273683436759
2023-07-21,11987.531228779033
2023-07-24,12110.709677594092
2023-07-25,12165.248664443314
2023-07-26,12269.2568658179
2023-07-27,12272.042495283242
2023-07-28,12284.200620830967
2023-07-31,12335.203732260428
2023-08-01,12304.13369059281
2023-08-02,12227.974625594356
2023-08-03,12184.948470359042
2023-08-04,12156.31738942851
2023-08-07,12212.977389131018
2023-08-08,12171.073156244169
2023-08-09,12124.495474946898
2023-08-10,12103.714753814811
2023-08-11,12108.266907761064
2023-08-14,12061.090260310622
2023-08-15,11909.573470871388
2023-08-16,11857.03348765926
2023-08-17,11823.51206613444
2023-08-18,11800.20532954297
2023-08-21,11710.016176645458
2023-08-22,11727.497102020852
2023-08-23,11820.815707545873
2023-08-24,11797.85858246213
2023-08-25,11816.815792335672
2023-08-28,11909.889720709418
2023-08-29,11989.945664527118
2023-08-30,11942.270572858393
2023-08-31,12032.226981516971
2023-09-01,12152.002231671384
2023-09-04,12189.95267079969
2023-09-05,12097.606357210998
2023-09-06,12012.576607502308
2023-09-07,11961.908729330244
2023-09-08,11949.421303140973
2023-09-11,11973.115098816741
2023-09-12,12015.762388404537
2023-09-13,11930.38842647673
2023-09-14,12160.345302917827
2023-09-15,12144.509232496664
2023-09-18,12046.298805415187
2023-09-19,12027.73073663872
2023-09-20,11980.338085586087
2023-09-21,11909.45544713191
2023-09-22,11876.20667177493
2023-09-25,11970.390497961956
2023-09-26,11836.9067006027
2023-09-27,11891.909836931969
2023-09-28,11879.97328138509
2023-09-29,11880.993052003187
2023-10-02,11775.820866117692
2023-10-03,11600.649411801527
2023-10-04,11525.168499425175
2023-10-05,11609.612367544263
2023-10-06,11664.36344890442
2023-10-09,11685.881660822659
2023-10-10,11800.287389457479
2023-10-11,11784.58261281381
2023-10-12,11789.541622178476
2023-10-13,11701.6292201693
2023-10-16,11719.847012235412
2023-10-17,11770.560713807652
2023-10-18,11654.527368992274
2023-10-19,11497.273503848714
2023-10-20,11346.705933561148
2023-10-23,11233.032964047849
2023-10-24,11277.902589664143
2023-10-25,11228.633511009499
2023-10-26,11292.496265591648
2023-10-27,11271.310264429794
2023-10-30,11289.282626792961
2023-10-31,11366.936662276368
2023-11-01,11488.594838949688
2023-11-02,11683.379908565983
2023-11-03,11794.698383264873
2023-11-06,11725.863943606337
2023-11-07,11667.284940898873
2023-11-08,11569.86468571078
2023-11-09,11581.595387624395
2023-11-10,11615.42095256103
2023-11-13,11604.921036475678
2023-11-14,11892.194522910404
2023-11-15,11967.204262383997
2023-11-16,11840.69293469151
2023-11-17,11967.850905764597
2023-11-20,11920.557018463744
2023-11-21,11848.75814244638
2023-11-22,11928.0699722512
2023-11-23,11911.276276011955
2023-11-24,11939.546575079248
2023-11-27,11926.990013135763
2023-11-28,11907.731031868023
2023-11-29,11978.611878696616
2023-11-30,12026.368097090548
2023-12-01,12328.858263068953
2023-12-04,12382.269651185337
2023-12-05,12315.21553283043
2023-12-06,12413.532010754123
2023-12-07,12502.389379819591
2023-12-08,12523.335324107082
2023-12-11,12548.186756898984
2023-12-12,12459.567297689082
2023-12-13,12671.64307263411
2023-12-14,12839.355916655324
2023-12-15,12847.024654489658
2023-12-18,12784.538453928859
2023-12-19,12859.659974571117
2023-12-20,12823.64999928867
2023-12-21,12872.042477558602
2023-12-22,12933.076600469665
2023-12-25,12927.760241269554
2023-12-26,12967.961708107508
2023-12-27,12950.112971779861
2023-12-28,12973.871578222777
2023-12-29,12963.289617258444
2024-01-01,12969.63315387314
2024-01-02,13031.784343712336
2024-01-03,12823.83877340541
2024-01-04,12823.736764026791
2024-01-05,12806.49804713145
2024-01-08,12887.810657247466
2024-01-09,12886.153679754056
2024-01-10,12843.102630469406
2024-01-11,12788.413313867997
2024-01-12,12807.653264768138
2024-01-15,12802.495949021191
2024-01-16,12697.963383465045
2024-01-17,12591.590737537126
2024-01-18,12654.11424114321
2024-01-19,12707.163632219728
2024-01-22,12880.629778123572
2024-01-23,12877.062088032872
2024-01-24,12876.11545320331
2024-01-25,12967.602697340715
2024-01-26,12966.37276904887
2024-01-29,13112.032064075249
2024-01-30,13039.14001962769
2024-01-31,12899.604125099271
2024-02-01,12860.017183280694
2024-02-02,12839.4237877254
2024-02-05,12764.102566881684
2024-02-06,12798.3747422772
2024-02-07,12764.574469743693
2024-02-08,12765.08681265617
2024-02-09,12768.617502142835
2024-02-12,12924.313119911752
2024-02-13,12734.00652680765
2024-02-14,12808.608886526403
2024-02-15,12973.289629892373
2024-02-16,12976.647574280145
2024-02-19,12994.390759336515
2024-02-20,12909.676730061867
2024-02-21,12918.470079146073
2024-02-22,12972.847521879603
2024-02-23,12971.962879177741
2024-02-26,12882.481912398887
2024-02-27,12953.86732921089
2024-02-28,12908.233383704264
2024-02-29,13026.447131267885
2024-03-01,13060.653477924194
2024-03-04,12999.28623200576
2024-03-05,13079.255437496018
2024-03-06,13125.641512535536
2024-03-07,13179.305509230304
2024-03-08,13213.983836796575
2024-03-11,13162.681128456377
2024-03-12,13152.717592621053
2024-03-13,13138.431354243936
2024-03-14,13068.568140477671
2024-03-15,13094.041272071307
2024-03-18,13082.874467227906
2024-03-19,13145.313343882943
2024-03-20,13256.429006752536
2024-03-21,13385.618881217328
2024-03-22,13361.603760339949
2024-03-25,13345.948488862196
2024-03-26,13349.198643493406
2024-03-27,13569.50185798289
2024-03-28,13615.643983626263
2024-03-29,13647.72461431827
2024-04-01,13567.65753494573
2024-04-02,13443.49104805976
2024-04-03,13407.337521618707
2024-04-04,13385.970988639538
2024-04-05,13380.170501406888
2024-04-08,13459.372398058984
2024-04-09,13478.316144000431
2024-04-10,13347.913041803788
2024-04-11,13367.312439816453
2024-04-12,13369.26325437313
2024-04-15,13313.623368761753
2024-04-16,13112.828680243016
2024-04-17,13082.36677156373
2024-04-18,13143.115040207134
2024-04-19,13172.517539180622
2024-04-22,13314.400944375035
2024-04-23,13373.939332938267
2024-04-24,13421.331978685284
2024-04-25,13263.139788956472
2024-04-26,13326.458073030195
2024-04-29,13398.957967590308
2024-04-30,13318.513019134696
2024-05-01,13344.421753898356
2024-05-02,13486.481166487469
2024-05-03,13506.69461833861
2024-05-06,13554.677615904777
2024-05-07,13620.436488820731
2024-05-08,13638.667825429895
2024-05-09,13700.651736889522
2024-05-10,13746.295283545229
2024-05-13,13706.62027055632
2024-05-14,13720.413407239595
2024-05-15,13731.187449307448
2024-05-16,13720.595979620475
2024-05-17,13723.270278683025
2024-05-20,13712.597022159927
2024-05-21,13716.111109237036
2024-05-22,13616.043728694156
2024-05-23,13502.881084744386
2024-05-24,13528.440280029337
2024-05-27,13566.710661022262
2024-05-28,13479.093155348002
2024-05-29,13332.393208642767
2024-05-30,13452.198958666202
2024-05-31,13567.202878442533
2024-06-03,13544.340954317624
2024-06-04,13431.100522767443
2024-06-05,13375.11389372994
2024-06-06,13358.929034639672
2024-06-07,13346.200974335386
2024-06-10,13411.586292242822
2024-06-11,13326.074281275203
2024-06-12,13397.629583632895
2024-06-13,13273.21746632969
2024-06-14,13241.319673574184
2024-06-17,13247.577869313083
2024-06-18,13303.53518793106
2024-06-19,13310.431492600272
2024-06-20,13370.033388614142
2024-06-21,13364.17263521621
2024-06-24,13468.380760405384
2024-06-25,13420.27608429759
2024-06-26,13390.367194435443
2024-06-27,13411.594085957626
2024-06-28,13463.570737417736
2024-07-01,13411.951161432778
2024-07-02,13448.370572936019
2024-07-03,13434.253647139994
2024-07-04,13486.146304702448
2024-07-05,13387.318250315062
2024-07-08,13385.560650500243
2024-07-09,13367.711910854543
2024-07-10,13475.220174169346
2024-07-11,13752.668469196673
2024-07-12,13802.586285799658
2024-07-15,13871.496705742402
2024-07-16,14084.423545412634
2024-07-17,14144.23622487737
2024-07-18,14084.373210685908
2024-07-19,14008.465189838167
2024-07-22,14104.195993375684
2024-07-23,14208.10724078795
2024-07-24,14114.132096725167
2024-07-25,14140.045405141776
2024-07-26,14287.928945865662
2024-07-29,14288.76102920985
2024-07-30,14352.510761440464
2024-07-31,14502.28967938704
2024-08-01,14223.595953809387
2024-08-02,13720.286360678914
2024-08-05,13134.306181203967
2024-08-06,13386.288770514035
2024-08-07,13412.036231277722
2024-08-08,13507.807302434634
2024-08-09,13546.499628187681
2024-08-12,13483.758226043421
2024-08-13,13622.42341077515
2024-08-14,13604.723878515742
2024-08-15,13762.311607739597
2024-08-16,13904.235272416223
2024-08-19,13924.409526261717
2024-08-20,13840.516652228116
2024-08-21,13883.585199887342
2024-08-22,13880.10444864251
2024-08-23,14095.367322028387
2024-08-26,14106.060353889723
2024-08-27,14101.855107056295
2024-08-28,14153.022603597068
2024-08-29,14214.79519690935
2024-08-30,14290.07318087435
2024-09-02,14250.25861089803
2024-09-03,14164.836363089815
2024-09-04,14033.664093131367
2024-09-05,14009.265432261505
2024-09-06,13826.169585787615
2024-09-09,13903.586766640172
2024-09-10,13919.443103855077
2024-09-11,13827.770735468535
2024-09-12,13918.841162158458
2024-09-13,14075.087205355405
2024-09-16,14103.935390841692
2024-09-17,14151.649437111839
2024-09-18,14177.24308978762
2024-09-19,14353.485984878358
2024-09-20,14182.117673896491
2024-09-23,14231.594776654169
2024-09-24,14212.686199957256
2024-09-25,14112.820286259283
2024-09-26,14306.080219701036
2024-09-27,14399.930734841604
2024-09-30,14373.811568473198
2024-10-01,14341.88079311244
2024-10-02,14281.282825192895
2024-10-03,14248.476096165203
2024-10-04,14396.217010393157
2024-10-07,14363.84587071621
2024-10-08,14238.24056907457
2024-10-09,14313.402588145169
2024-10-10,14310.149563565947
2024-10-11,14420.20324077063
2024-10-14,14482.408188672454
2024-10-15,14573.446298111758
2024-10-16,14625.632871142629
2024-10-17,14728.701082899162
2024-10-18,14657.570934084548
2024-10-21,14481.992944916972
2024-10-22,14485.312163243341
2024-10-23,14436.98604764869
2024-10-24,14438.336807857946
2024-10-25,14314.795298084158
2024-10-28,14457.525925906542
2024-10-29,14426.689394036115
2024-10-30,14395.531518679894
2024-10-31,14300.683897541872
2024-11-01,14248.784576268175
2024-11-04,14196.503372256178
2024-11-05,14330.455196425337
2024-11-06,14976.058096779156
2024-11-07,14902.628941548868
2024-11-08,14942.60443504464
2024-11-11,15176.21434359842
2024-11-12,15081.854779689153
2024-11-13,15012.897876362746
2024-11-14,14998.234124752491
2024-11-15,15029.29701680073
2024-11-18,14988.68013912142
2024-11-19,14974.857243984734
2024-11-20,14994.283034342949
2024-11-21,15148.4472103093
2024-11-22,15452.915748245872
2024-11-25,15480.459177996716
2024-11-26,15392.384559081951
2024-11-27,15307.142979873237
2024-11-28,15363.466991289537
2024-11-29,15377.562949954494
2024-12-02,15465.26744461895
2024-12-03,15446.176255541694
2024-12-04,15408.785834268083
2024-12-05,15355.039931228343
2024-12-06,15341.339132557232
2024-12-09,15279.04794002926
2024-12-10,15313.550476093907
2024-12-11,15372.953852752793
2024-12-12,15326.410500336098
2024-12-13,15204.940038338244
2024-12-16,15137.987572114434
2024-12-17,15000.478834608291
2024-12-18,14751.561504824009
2024-12-19,14682.08347389489
2024-12-20,14768.010492747922
2024-12-23,14815.971275223475
2024-12-24,14886.13484753324
2024-12-25,14887.32292704157
2024-12-26,14892.407086235013
2024-12-27,14889.280411702708
2024-12-30,14905.158836957158
2024-12-31,14979.45083787784
2025-01-01,14980.978901531254
2025-01-02,15045.34868320907
2025-01-03,15076.18296755832
2025-01-06,14937.411693087493
2025-01-07,14912.868479522858
2025-01-08,14895.515636155575
2025-01-09,14879.152098933237
2025-01-10,14726.263092995707
2025-01-13,14818.3736062681
2025-01-14,14831.61542174772
2025-01-15,15050.264477952442
2025-01-16,15102.445390129536
2025-01-17,15178.364274103904
2025-01-20,15118.653351652916
2025-01-21,15237.932349516897
2025-01-22,15145.236455728957
2025-01-23,15178.559205191608
2025-01-24,15090.963189436561
2025-01-27,15183.590453860425
2025-01-28,15230.202620157552
2025-01-29,15265.131228156624
2025-01-30,15409.728435913672
2025-01-31,15389.640778439394
2025-02-03,15244.312728673578
2025-02-04,15292.482222152948
2025-02-05,15369.569575535077
2025-02-06,15516.551447956732
2025-02-07,15480.295112230879
2025-02-10,15529.951701004164
2025-02-11,15541.100022235536
2025-02-12,15342.36675383888
2025-02-13,15439.971431344258
2025-02-14,15379.612480842154
2025-02-17,15425.536781995175
2025-02-18,15493.333234451578
2025-02-19,15463.396014115764
2025-02-20,15347.724579025999
2025-02-21,15286.201326624294
2025-02-24,15247.421710509072
2025-02-25,15194.00484430498
2025-02-26,15195.210662782614
2025-02-27,15271.92312082606
2025-02-28,15268.503314997144
2025-03-03,15162.76578894826
2025-03-04,14832.236369758346
2025-03-05,14693.005078888797
2025-03-06,14687.772267436198
2025-03-07,14678.819629189953
2025-03-10,14515.648715309682
2025-03-11,14310.666690253349
2025-03-12,14366.321421775629
2025-03-13,14353.06544538145
2025-03-14,14551.653723498248
2025-03-17,14643.104112811894
2025-03-18,14658.080996189983
2025-03-19,14796.905282105288
2025-03-20,14796.081411279827
2025-03-21,14762.006078297545
2025-03-24,14855.355492123144
2025-03-25,14892.950770977117
2025-03-26,14895.889646481499
2025-03-27,14841.552698367093
2025-03-28,14679.41469349319
2025-03-31,14549.79501666759
2025-04-01,14599.709108766268
2025-04-02,14589.76277425572
2025-04-03,13833.848077936493
2025-04-04,13294.489859571342
