Date,CHINA A 50 CONNECT RMB
2013-09-06,1061.3323707485247
2013-09-09,1093.6309356654624
2013-09-10,1104.8475589060688
2013-09-11,1102.8257446244393
2013-09-12,1111.917821671967
2013-09-13,1108.517954611962
2013-09-16,1093.913765607431
2013-09-17,1075.3328840275767
2013-09-18,1074.7690665119853
2013-09-19,1059.3330256453373
2013-09-20,1061.920685428919
2013-09-23,1080.610664315357
2013-09-24,1064.6116729050168
2013-09-25,1056.3889274948401
2013-09-26,1043.7133138623926
2013-09-27,1043.047894744314
2013-09-30,1046.9244792933976
2013-10-01,1047.7759205911116
2013-10-02,1042.7646675218045
2013-10-03,1040.2387942859827
2013-10-04,1042.381171266602
2013-10-07,1044.2245303728469
2013-10-08,1051.2267796923356
2013-10-09,1059.203009315864
2013-10-10,1048.0320084902996
2013-10-11,1057.6572815983943
2013-10-14,1062.111217012673
2013-10-15,1064.8559765800376
2013-10-16,1054.4714460135715
2013-10-17,1037.4111803944543
2013-10-18,1037.8153368936207
2013-10-21,1054.4084259286556
2013-10-22,1035.6675039695047
2013-10-23,1032.2834715937379
2013-10-24,1023.0475217189497
2013-10-25,1010.1746891602779
2013-10-28,1009.7735672394122
2013-10-29,1021.1579386739635
2013-10-30,1034.8321422124566
2013-10-31,1037.985833333943
2013-11-01,1052.7496621592513
2013-11-04,1048.580108861869
2013-11-05,1050.6061920880422
2013-11-06,1032.5082004185958
2013-11-07,1040.119295621746
2013-11-08,1034.2055562967557
2013-11-11,1036.4431953328892
2013-11-12,1043.6945380537488
2013-11-13,1023.6541330351205
2013-11-14,1023.7600088879753
2013-11-15,1038.3716330637833
2013-11-18,1066.746004997994
2013-11-19,1059.8487249305135
2013-11-20,1068.8289884476058
2013-11-21,1061.2753008020802
2013-11-22,1051.7853733792701
2013-11-25,1052.7147348161125
2013-11-26,1048.1519118296126
2013-11-27,1058.5256896635112
2013-11-28,1069.7070762869484
2013-11-29,1065.360282795311
2013-12-02,1066.888463159885
2013-12-03,1072.9661695962457
2013-12-04,1085.6613776251693
2013-12-05,1070.450796660951
2013-12-06,1062.6966040120176
2013-12-09,1061.8530587554797
2013-12-10,1059.5164771747363
2013-12-11,1039.7975670297947
2013-12-12,1040.9931672468351
2013-12-13,1040.5879661408433
2013-12-16,1020.7454542276647
2013-12-17,1019.8058428662141
2013-12-18,1019.8186979730228
2013-12-19,1016.0210262585719
2013-12-20,991.3559990443384
2013-12-23,993.918249729323
2013-12-24,999.9972195787623
2013-12-25,1003.9613662105279
2013-12-26,984.2394897487223
2013-12-27,993.7243573539552
2013-12-30,986.3850054130537
2013-12-31,1003.8379927891665
2014-01-01,1003.8379927891663
2014-01-02,1008.6516553662609
2014-01-03,999.9938382386068
2014-01-06,978.3316936025149
2014-01-07,977.9727564191829
2014-01-08,978.322108293899
2014-01-09,972.1432135414825
2014-01-10,961.2462898998375
2014-01-13,960.7440501565857
2014-01-14,963.6770334378025
2014-01-15,969.6500685392301
2014-01-16,967.1866144080266
2014-01-17,959.1700789510004
2014-01-20,951.736616234767
2014-01-21,960.808971757986
2014-01-22,982.217321218576
2014-01-23,966.8964748360331
2014-01-24,969.6871511162034
2014-01-27,955.4294930759702
2014-01-28,958.8757321458393
2014-01-29,961.7745667566262
2014-01-30,955.8599695130382
2014-01-31,961.3886542204659
2014-02-03,959.0418091127043
2014-02-04,959.6096885008027
2014-02-05,958.0496358019651
2014-02-06,953.3296589205555
2014-02-07,951.2768099220501
2014-02-10,969.0769176513371
2014-02-11,973.6802523930386
2014-02-12,980.4527495880377
2014-02-13,972.4370194168298
2014-02-14,975.5027513320383
2014-02-17,976.8324152888786
2014-02-18,956.5344901726763
2014-02-19,969.3588588920255
2014-02-20,965.2526240661387
2014-02-21,954.5687712017557
2014-02-24,931.2854106908854
2014-02-25,906.2251883080066
2014-02-26,909.4352367720844
2014-02-27,906.1553543844141
2014-02-28,903.8857825590436
2014-03-03,909.320030719734
2014-03-04,907.0383664378946
2014-03-05,900.8964995005844
2014-03-06,898.9911513879042
2014-03-07,898.1090401589153
2014-03-10,872.5896845330899
2014-03-11,878.4148169392953
2014-03-12,873.7363991073441
2014-03-13,883.7862467154129
2014-03-14,873.7643081791445
2014-03-17,877.9030852163514
2014-03-18,873.3332237490824
2014-03-19,865.0291398979462
2014-03-20,856.7382793246314
2014-03-21,885.6975624277342
2014-03-24,897.896091149464
2014-03-25,892.9324559054861
2014-03-26,889.9539827824
2014-03-27,886.7163113166376
2014-03-28,890.0618327600686
2014-03-31,888.7625333574063
2014-04-01,895.6821972583843
2014-04-02,906.3290432737193
2014-04-03,901.498517491935
2014-04-04,911.032060715144
2014-04-07,907.8167314366774
2014-04-08,928.7969479680665
2014-04-09,926.0017066703582
2014-04-10,938.6763908438771
2014-04-11,941.0053763854861
2014-04-14,940.8703615107111
2014-04-15,921.5322329001691
2014-04-16,922.603687826342
2014-04-17,917.248754347845
2014-04-18,915.4245138065044
2014-04-21,901.5442245400899
2014-04-22,906.3385641529311
2014-04-23,905.1991900582387
2014-04-24,902.5449862989005
2014-04-25,891.9398721221334
2014-04-28,881.917939583282
2014-04-29,891.0489763856319
2014-04-30,889.0591448484728
2014-05-01,889.0591448484728
2014-05-02,889.0591448484728
2014-05-05,888.4972035879641
2014-05-06,888.0767426839419
2014-05-07,880.2699721888799
2014-05-08,885.6867402884388
2014-05-09,892.3780494053675
2014-05-12,906.3620752464885
2014-05-13,908.760840247094
2014-05-14,907.1064581062366
2014-05-15,898.4307198858064
2014-05-16,899.7387532023109
2014-05-19,884.971518629264
2014-05-20,887.1958922280688
2014-05-21,896.9649637081176
2014-05-22,896.0073989905085
2014-05-23,903.7592022728616
2014-05-26,904.4162814255191
2014-05-27,902.7486795633063
2014-05-28,911.7254122212432
2014-05-29,909.3583089419909
2014-05-30,906.4367319285317
2014-06-02,908.9680268624492
2014-06-03,906.1633619437156
2014-06-04,898.2959012098063
2014-06-05,907.958540499728
2014-06-06,901.1059219269304
2014-06-09,906.9628099094366
2014-06-10,923.8658192325254
2014-06-11,922.4272644009485
2014-06-12,920.2898896127774
2014-06-13,933.6991875159963
2014-06-16,936.1813361589111
2014-06-17,927.943208266322
2014-06-18,922.0311703780717
2014-06-19,907.1231288992998
2014-06-20,913.6910382032248
2014-06-23,909.4351343825716
2014-06-24,915.1272499328784
2014-06-25,908.3008363668713
2014-06-26,917.6558445866555
2014-06-27,916.2432050765909
2014-06-30,919.813981341644
2014-07-01,918.3201543270848
2014-07-02,921.3708536549452
2014-07-03,928.9527605698419
2014-07-04,931.5170867744393
2014-07-07,931.768256606021
2014-07-08,931.2363532777922
2014-07-09,916.751439097594
2014-07-10,917.1436496945637
2014-07-11,921.7737733208015
2014-07-14,932.2185744700023
2014-07-15,940.4899579322617
2014-07-16,942.9408112374549
2014-07-17,939.3801175149836
2014-07-18,946.3265029777125
2014-07-21,949.3086195657554
2014-07-22,963.6877450832941
2014-07-23,971.4492494163879
2014-07-24,990.3934793917749
2014-07-25,1002.8269946519388
2014-07-28,1030.6523464039374
2014-07-29,1035.678924388448
2014-07-30,1035.0513649332058
2014-07-31,1045.8231636623232
2014-08-01,1035.710867395525
2014-08-04,1058.2309309278469
2014-08-05,1058.657524626765
2014-08-06,1055.2770255170694
2014-08-07,1038.5535765629018
2014-08-08,1036.808983744182
2014-08-11,1054.0367676389353
2014-08-12,1048.8867442660776
2014-08-13,1046.3643778398402
2014-08-14,1039.7658574506063
2014-08-15,1050.1061962301906
2014-08-18,1055.5055464537977
2014-08-19,1057.1836575549974
2014-08-20,1055.5423651100762
2014-08-21,1047.8365884294658
2014-08-22,1056.6233542148045
2014-08-25,1048.6974300934437
2014-08-26,1043.8810618938542
2014-08-27,1045.525794144996
2014-08-28,1037.8553389437955
2014-08-29,1052.3091791255224
2014-09-01,1060.1995884958694
2014-09-02,1072.047307145701
2014-09-03,1084.1903761439935
2014-09-04,1106.238810663474
2014-09-05,1116.8890310894074
2014-09-08,1117.7515935723902
2014-09-09,1115.577078844669
2014-09-10,1107.3029707483981
2014-09-11,1098.4807554741292
2014-09-12,1103.7066344371426
2014-09-15,1097.6864881528945
2014-09-16,1081.6386446950003
2014-09-17,1087.1720643390238
2014-09-18,1093.9752654563758
2014-09-19,1106.0385091647959
2014-09-22,1082.606826113454
2014-09-23,1086.9759007812258
2014-09-24,1110.2232218500537
2014-09-25,1112.440000283773
2014-09-26,1115.9845732434192
2014-09-29,1113.2452028650773
2014-09-30,1119.1214693766503
2014-10-01,1122.4089525545264
2014-10-02,1117.2641531513448
2014-10-03,1129.9446079127638
2014-10-06,1124.775396761918
2014-10-07,1119.4316226067426
2014-10-08,1127.7617251782165
2014-10-09,1129.2543879015982
2014-10-10,1129.029693984921
2014-10-13,1115.5116646350048
2014-10-14,1111.2546588595337
2014-10-15,1111.0038874125048
2014-10-16,1106.9572567337793
2014-10-17,1108.7144983824508
2014-10-20,1109.4287291693634
2014-10-21,1107.3052051531254
2014-10-22,1111.4612036881945
2014-10-23,1104.9262694428287
2014-10-24,1098.4400323303296
2014-10-27,1080.5572612639173
2014-10-28,1096.0071796044735
2014-10-29,1109.6636528635534
2014-10-30,1130.6746399797921
2014-10-31,1160.8448023377684
2014-11-03,1163.5830800887873
2014-11-04,1155.718480090879
2014-11-05,1156.689831379956
2014-11-06,1161.512866576057
2014-11-07,1159.0474685390952
2014-11-10,1193.1891111482282
2014-11-11,1200.6267594654657
2014-11-12,1206.071138377426
2014-11-13,1203.6947630158172
2014-11-14,1207.8356214961755
2014-11-17,1204.283105999528
2014-11-18,1174.620362037974
2014-11-19,1166.1214421911302
2014-11-20,1164.6346588149188
2014-11-21,1195.6541223634158
2014-11-24,1213.3932680411085
2014-11-25,1223.5333950094864
2014-11-26,1234.0461961576584
2014-11-27,1251.6292601270482
2014-11-28,1283.223465871017
2014-12-01,1288.568468556624
2014-12-02,1342.3090432252825
2014-12-03,1365.0734853089837
2014-12-04,1413.0016580829665
2014-12-05,1443.9452433396832
2014-12-08,1498.9796874237627
2014-12-09,1414.0495593352466
2014-12-10,1474.8933513942238
2014-12-11,1455.6580921191405
2014-12-12,1447.2712904190735
2014-12-15,1464.8469915346482
2014-12-16,1487.4113992208272
2014-12-17,1530.426280701291
2014-12-18,1548.3676056338065
2014-12-19,1585.052476164966
2014-12-22,1606.8280035942191
2014-12-23,1575.6165654432361
2014-12-24,1525.481851610664
2014-12-25,1583.0725921152352
2014-12-26,1632.834926862137
2014-12-29,1645.1888168096298
2014-12-30,1665.0659377234688
2014-12-31,1712.0627208747962
2015-01-01,1712.0627208747962
2015-01-02,1722.0244340588893
2015-01-05,1799.303326654333
2015-01-06,1806.1529092701799
2015-01-07,1821.1509028176442
2015-01-08,1776.080977192762
2015-01-09,1768.4359900126317
2015-01-12,1751.2958030991135
2015-01-13,1759.0416425066405
2015-01-14,1747.4553918720087
2015-01-15,1838.7741252964197
2015-01-16,1866.081854842924
2015-01-19,1686.445197793368
2015-01-20,1717.1934760897866
2015-01-21,1795.4286269976246
2015-01-22,1827.422029522685
2015-01-23,1848.5812891696419
2015-01-26,1848.504182752204
2015-01-27,1816.8198821733397
2015-01-28,1794.0235210428496
2015-01-29,1775.927334951702
2015-01-30,1750.6441761799583
2015-02-02,1690.1191253643594
2015-02-03,1718.7578887928673
2015-02-04,1710.6396779041027
2015-02-05,1683.410116156979
2015-02-06,1672.3610741872812
2015-02-09,1693.7623217067403
2015-02-10,1729.4451207850034
2015-02-11,1741.9505713805504
2015-02-12,1738.4179872574086
2015-02-13,1744.0722646699144
2015-02-16,1748.1248611418073
2015-02-17,1759.1185193447043
2015-02-18,1764.9247020208854
2015-02-19,1760.4312367332684
2015-02-20,1763.8379735242384
2015-02-23,1766.0127704443441
2015-02-24,1768.7388199709196
2015-02-25,1742.1989381488486
2015-02-26,1809.9369890471808
2015-02-27,1804.047002119896
2015-03-02,1810.675739281853
2015-03-03,1756.0669764942975
2015-03-04,1782.6159831739044
2015-03-05,1768.9053276139623
2015-03-06,1796.344150319453
2015-03-09,1834.9309825869561
2015-03-10,1839.3118084372536
2015-03-11,1866.3034854932228
2015-03-12,1899.833803660237
2015-03-13,1931.4273358242897
2015-03-16,1957.693755337114
2015-03-17,1985.6515993064647
2015-03-18,2037.2890454995904
2015-03-19,2053.1002884052846
2015-03-20,2037.627100791139
2015-03-23,2049.744015040417
2015-03-24,2054.6586274190695
2015-03-25,2016.7578450455915
2015-03-26,2053.8087797649523
2015-03-27,2055.2339198982663
2015-03-30,2133.3910863506503
2015-03-31,2128.873314603172
2015-04-01,2157.8710734131705
2015-04-02,2124.6542124546786
2015-04-03,2139.0552404089
2015-04-06,2109.7809991163144
2015-04-07,2194.4139366876393
2015-04-08,2243.862293558147
2015-04-09,2248.952896478075
2015-04-10,2296.4081972054937
2015-04-13,2369.8040694856436
2015-04-14,2379.628837612922
2015-04-15,2401.8706392558206
2015-04-16,2477.5827380922924
2015-04-17,2530.786870293973
2015-04-20,2521.799940004492
2015-04-21,2546.6463513661397
2015-04-22,2605.6848947725766
2015-04-23,2573.6426544626734
2015-04-24,2531.7455133908957
2015-04-27,2603.8750404265834
2015-04-28,2568.234181586624
2015-04-29,2518.2006680073064
2015-04-30,2493.2801478753304
2015-05-01,2489.5032922269565
2015-05-04,2540.257376253194
2015-05-05,2444.212688207558
2015-05-06,2371.5433795438166
2015-05-07,2319.576568716152
2015-05-08,2370.391575233474
2015-05-11,2438.530758955217
2015-05-12,2439.485955811073
2015-05-13,2390.747581388551
2015-05-14,2370.2278110109214
2015-05-15,2320.840241835157
2015-05-18,2295.9251354868625
2015-05-19,2421.9373889059734
2015-05-20,2439.2130553624943
2015-05-21,2469.760160050132
2015-05-22,2565.6069655216265
2015-05-25,2654.5688241934367
2015-05-26,2719.5169654616484
2015-05-27,2697.6456978343135
2015-05-28,2518.9759419340508
2015-05-29,2494.2347871203783
2015-06-01,2616.823352242439
2015-06-02,2574.5408694944144
2015-06-03,2529.7936769855073
2015-06-04,2540.219357463413
2015-06-05,2618.6871807142206
2015-06-08,2686.1592573096295
2015-06-09,2635.0388380352965
2015-06-10,2588.7640996509303
2015-06-11,2589.5259257020725
2015-06-12,2576.960541090208
2015-06-15,2525.3701872968386
2015-06-16,2443.0855833983396
2015-06-17,2477.7884471121215
2015-06-18,2339.3581581565854
2015-06-19,2228.9694256237863
2015-06-22,2215.7675271260373
2015-06-23,2347.138585187516
2015-06-24,2395.8855588107886
2015-06-25,2314.0963073146618
2015-06-26,2156.367751963136
2015-06-29,2101.9164133224167
2015-06-30,2258.881255076819
2015-07-01,2167.53732397427
2015-07-02,2122.33219758061
2015-07-03,2004.0768745188059
2015-07-06,2113.2183135131886
2015-07-07,2152.342551878316
2015-07-08,1991.8574572817154
2015-07-09,2129.5951304597697
2015-07-10,2220.1941762661236
2015-07-13,2267.037837065476
2015-07-14,2184.7963393075
2015-07-15,2153.042937306993
2015-07-16,2170.288075157862
2015-07-17,2244.8003014596543
2015-07-20,2226.84837312787
2015-07-21,2217.9384103106336
2015-07-22,2203.7350022307282
2015-07-23,2222.4515150671127
2015-07-24,2182.3779109060893
2015-07-27,1968.5783972842917
2015-07-28,1967.881045015028
2015-07-29,2027.900263352515
2015-07-30,1990.9916569563463
2015-07-31,1977.2120534840565
2015-08-03,2007.4727344426499
2015-08-04,2052.2622885859337
2015-08-05,2040.1267443291215
2015-08-06,2017.6306657175292
2015-08-07,2037.003293622379
2015-08-10,2120.226907316607
2015-08-11,2057.24475640309
2015-08-12,1993.7530941382404
2015-08-13,2020.8466712675188
2015-08-14,2024.8512006121066
2015-08-17,2021.2703665397232
2015-08-18,1911.7865063360882
2015-08-19,1931.7423745408323
2015-08-20,1853.6745380444472
2015-08-21,1770.280219156426
2015-08-24,1575.7507966991009
2015-08-25,1487.4880787769373
2015-08-26,1493.154934150465
2015-08-27,1613.79710144335
2015-08-28,1679.5308669716055
2015-08-31,1717.477321180001
2015-09-01,1722.092817052318
2015-09-02,1738.7395970653945
2015-09-03,1759.7364074116085
2015-09-04,1756.728446299574
2015-09-07,1678.888182147956
2015-09-08,1706.661132528041
2015-09-09,1733.2053955812448
2015-09-10,1709.7543190251602
2015-09-11,1693.9702705469028
2015-09-14,1687.3847234422965
2015-09-15,1639.2851269181833
2015-09-16,1707.141627365397
2015-09-17,1674.0739264097174
2015-09-18,1672.542691842433
2015-09-21,1715.8778212209954
2015-09-22,1731.2307862179036
2015-09-23,1680.022269534976
2015-09-24,1666.9630903586115
2015-09-25,1666.7556647483611
2015-09-28,1658.362409528672
2015-09-29,1620.5814254358868
2015-09-30,1646.1590511183579
2015-10-01,1640.0616215734262
2015-10-02,1629.6616919966893
2015-10-05,1638.964492539684
2015-10-06,1631.4703372199829
2015-10-07,1635.2452085172793
2015-10-08,1676.3986230425999
2015-10-09,1681.1216536920613
2015-10-12,1741.3974435997795
2015-10-13,1726.79970322743
2015-10-14,1706.3692334638686
2015-10-15,1746.0136606347542
2015-10-16,1761.5561912811863
2015-10-19,1765.6979998228267
2015-10-20,1789.1591444680842
2015-10-21,1762.087206259431
2015-10-22,1798.3001594796333
2015-10-23,1830.3011808193708
2015-10-26,1834.7400165401682
2015-10-27,1827.5364036593207
2015-10-28,1796.206419207665
2015-10-29,1817.7186632515586
2015-10-30,1814.0656294004743
2015-11-02,1784.7957257231456
2015-11-03,1785.4082934159653
2015-11-04,1875.8457924506033
2015-11-05,1923.4789771634637
2015-11-06,1973.2834619258367
2015-11-09,2001.2920812098553
2015-11-10,1996.5087583932332
2015-11-11,1978.4401015277026
2015-11-12,1955.7914516529725
2015-11-13,1923.379375511426
2015-11-16,1933.1561491279422
2015-11-17,1943.5694430585847
2015-11-18,1926.6680296067132
2015-11-19,1931.65505581964
2015-11-20,1941.8921624730312
2015-11-23,1941.8879052817279
2015-11-24,1929.065585466588
2015-11-25,1946.2777617303225
2015-11-26,1936.1952501884807
2015-11-27,1840.7823219001323
2015-11-30,1847.3410357081643
2015-12-01,1854.1285876590555
2015-12-02,1938.770718883843
2015-12-03,1894.9220292038367
2015-12-04,1847.6980476176223
2015-12-07,1853.1624708678266
2015-12-08,1812.4318453962946
2015-12-09,1800.486349548789
2015-12-10,1792.9842973845348
2015-12-11,1766.3463701976696
2015-12-14,1805.1277707710767
2015-12-15,1807.3692409505104
2015-12-16,1793.6402491016163
2015-12-17,1838.3081149423447
2015-12-18,1843.2535248461065
2015-12-21,1884.606265926863
2015-12-22,1874.2392212517027
2015-12-23,1886.2906882976515
2015-12-24,1855.6456099133768
2015-12-25,1861.463999120798
2015-12-28,1804.5719105313237
2015-12-29,1832.5654295113682
2015-12-30,1831.3456459625393
2015-12-31,1824.8326930039366
2016-01-01,1824.8326930039366
2016-01-04,1709.6337841209263
2016-01-05,1738.3519939612938
2016-01-06,1755.9175687138195
2016-01-07,1621.0082184776427
2016-01-08,1649.9867141173042
2016-01-11,1592.1803408257836
2016-01-12,1603.2044933822992
2016-01-13,1576.8292161950278
2016-01-14,1598.8038490271977
2016-01-15,1530.86184567391
2016-01-18,1542.1393731894275
2016-01-19,1589.6468773513345
2016-01-20,1556.4943318835544
2016-01-21,1526.718987952925
2016-01-22,1541.952812736623
2016-01-25,1543.4874378048053
2016-01-26,1450.6291694349384
2016-01-27,1446.115547494267
2016-01-28,1400.3165268561224
2016-01-29,1466.776565658552
2016-02-01,1430.9956854899856
2016-02-02,1455.1976178347834
2016-02-03,1423.9978206417463
2016-02-04,1424.2402537899202
2016-02-05,1423.8204107278812
2016-02-08,1423.3095085845382
2016-02-09,1402.921680617723
2016-02-10,1417.3337573760448
2016-02-11,1398.7166877018672
2016-02-12,1411.0941610588868
2016-02-15,1427.9490302048196
2016-02-16,1465.7038769751184
2016-02-17,1478.879025722354
2016-02-18,1476.9277080600668
2016-02-19,1471.3445670831024
2016-02-22,1519.2321332031734
2016-02-23,1503.7661578670254
2016-02-24,1515.8622818127687
2016-02-25,1429.8849282699628
2016-02-26,1462.0142519244512
2016-02-29,1449.521481626236
2016-03-01,1474.6319401554897
2016-03-02,1536.2152766613106
2016-03-03,1524.3887966402867
2016-03-04,1558.7702069370555
2016-03-07,1561.283124044523
2016-03-08,1553.1182991104165
2016-03-09,1547.7184176396859
2016-03-10,1498.8988268214873
2016-03-11,1506.9468656667195
2016-03-14,1528.4056493741145
2016-03-15,1536.6267321504547
2016-03-16,1553.2780298621542
2016-03-17,1530.776142803205
2016-03-18,1549.637287316021
2016-03-21,1582.2674635251128
2016-03-22,1576.1791839506889
2016-03-23,1583.2892051682536
2016-03-24,1556.7030557756914
2016-03-25,1563.5523450991639
2016-03-28,1541.5745234572469
2016-03-29,1530.5714407245719
2016-03-30,1552.2312394075036
2016-03-31,1548.6938610061186
2016-04-01,1562.4153007472178
2016-04-04,1557.4046994664313
2016-04-05,1567.2590253282258
2016-04-06,1560.7259338333276
2016-04-07,1541.660356857967
2016-04-08,1527.7559468081179
2016-04-11,1541.4477636141346
2016-04-12,1547.2171078645408
2016-04-13,1578.8795226880536
2016-04-14,1581.9320853105776
2016-04-15,1577.6807959202108
2016-04-18,1557.2543392490738
2016-04-19,1555.6141270184726
2016-04-20,1544.9892826892585
2016-04-21,1542.8138465377806
2016-04-22,1550.521806543178
2016-04-25,1538.8007030929025
2016-04-26,1540.6386186630189
2016-04-27,1532.0134534433846
2016-04-28,1531.0448943400268
2016-04-29,1512.4906794108726
2016-05-02,1504.6086764782588
2016-05-03,1528.5971578370156
2016-05-04,1519.8999144945208
2016-05-05,1531.2371581944076
